edad,ingresos_anuales,antiguedad_laboral,loan_grade,monto_solicitado,tasa_interes,porcentaje_ingreso_credito,anios_historial_crediticio,tipo_vivienda_HIPOTECA,tipo_vivienda_OTRO,tipo_vivienda_PROPIO,motivo_credito_EDUCACION,motivo_credito_EMPRENDIMIENTO,motivo_credito_MEDICO,motivo_credito_MEJORA_HOGAR,motivo_credito_PERSONAL,historial_morosidad_SI
22,75000,5.0,B,5000,11.49,0.07,4,0,0,0,1,0,0,0,0,0
29,100000,0.0,B,15800,11.14,0.16,6,0,0,1,0,1,0,0,0,0
23,46800,7.0,C,9000,10.99,0.19,4,0,0,1,0,1,0,0,0,0
25,74000,1.0,A,16000,8.49,0.22,3,0,0,1,0,0,1,0,0,0
22,100000,6.0,A,15000,8.94,0.15,3,1,0,0,0,0,0,0,0,0
24,58000,6.0,A,2200,7.4,0.04,3,1,0,0,0,0,0,0,0,0
24,62004,6.0,A,14000,8.59,0.23,4,0,0,0,0,1,0,0,0,0
24,30000,0.0,D,6000,14.11,0.2,4,0,0,0,0,0,0,0,1,1
32,71000,2.0,D,15000,15.95,0.21,9,0,0,0,1,0,0,0,0,0
24,85000,1.0,A,4400,7.4,0.05,3,1,0,0,0,0,0,0,1,0
29,249999,2.0,A,25000,6.62,0.1,9,1,0,0,1,0,0,0,0,0
35,60000,1.0,D,5000,15.7,0.08,9,0,0,1,0,0,0,0,1,0
24,14400,3.0,A,1800,6.92,0.13,3,0,0,0,0,0,0,0,0,0
25,39996,7.0,B,3200,10.99,0.08,4,1,0,0,0,1,0,0,0,0
35,36000,5.0,A,7000,6.91,0.19,8,0,0,0,0,0,1,0,0,0
26,42000,0.0,B,7500,10.25,0.18,4,0,0,0,0,0,0,0,0,0
30,42000,4.0,B,14750,10.99,0.35,8,0,0,0,0,0,1,0,0,0
23,60036,7.0,B,7200,9.91,0.12,4,0,0,0,0,0,1,0,0,0
29,60000,13.0,G,25000,20.16,0.42,9,1,0,0,0,0,0,0,0,1
23,105000,7.0,B,12000,11.36,0.11,2,1,0,0,0,1,0,0,0,0
38,40000,0.0,B,9600,11.11,0.24,11,0,0,0,0,0,0,0,1,0
32,25200,17.0,A,4000,6.54,0.16,6,0,0,1,0,0,1,0,0,0
32,110888,0.0,B,10400,9.91,0.09,6,1,0,0,0,0,1,0,0,0
26,115600,4.0,A,9925,7.29,0.09,4,1,0,0,0,0,0,0,0,0
23,76000,7.0,B,3600,10.65,0.05,3,1,0,0,0,0,1,0,0,0
30,37800,4.0,B,15050,9.99,0.4,7,0,0,0,0,0,1,0,0,0
24,52000,5.0,B,10000,11.99,0.19,4,0,0,0,0,0,0,1,0,0
35,60000,5.0,A,2000,6.91,0.03,6,1,0,0,0,0,0,0,0,0
23,77705,4.0,E,4000,16.77,0.05,4,1,0,0,1,0,0,0,0,1
25,62500,2.0,D,12000,16.77,0.19,4,0,0,0,0,0,0,0,0,0
32,19000,1.0,A,8325,6.62,0.44,9,0,0,0,0,0,0,0,1,0
24,54000,6.0,C,6300,14.65,0.12,2,1,0,0,0,0,0,1,0,1
22,19200,6.0,B,4400,11.49,0.23,2,0,0,0,0,0,0,0,1,0
25,115000,1.0,D,20000,15.65,0.17,2,1,0,0,1,0,0,0,0,1
27,50000,7.0,C,8800,12.29,0.18,7,0,0,1,1,0,0,0,0,0
22,29120,1.0,B,6800,10.59,0.23,2,0,0,0,0,1,0,0,0,0
30,60000,5.0,A,4000,6.99,0.07,7,1,0,0,0,1,0,0,0,0
29,260000,0.0,B,20000,10.37,0.08,6,1,0,0,0,0,0,1,0,0
38,92904,8.0,B,5375,10.51,0.06,16,1,0,0,0,0,1,0,0,0
21,24996,0.0,D,5000,10.99,0.2,3,0,0,0,0,0,0,0,0,0
21,40000,3.0,B,5000,9.25,0.13,4,0,0,0,0,1,0,0,0,0
27,45000,2.0,A,3000,6.62,0.07,10,1,0,0,1,0,0,0,0,0
27,102000,9.0,A,6000,7.49,0.06,9,1,0,0,0,0,0,0,1,0
26,70000,3.0,C,3500,14.35,0.05,3,1,0,0,1,0,0,0,0,0
22,29000,5.0,B,9000,10.99,0.31,4,1,0,0,0,0,0,0,0,0
26,50026,3.0,A,7000,10.99,0.14,4,0,0,0,0,0,0,0,1,0
26,50000,1.0,C,2800,13.61,0.06,3,0,0,0,0,0,1,0,0,1
23,65000,7.0,B,3600,10.59,0.06,3,0,0,0,1,0,0,0,0,0
27,130000,2.0,C,10000,13.47,0.08,6,0,0,0,0,1,0,0,0,1
25,95000,1.0,A,7000,6.99,0.07,2,0,0,0,0,0,0,0,0,0
21,47000,5.0,A,7000,7.14,0.15,3,1,0,0,0,0,0,0,1,0
21,72000,5.0,A,2000,6.54,0.03,2,1,0,0,0,0,0,0,0,0
29,66000,4.0,E,8200,17.04,0.12,7,1,0,0,0,0,0,0,0,1
24,90000,1.0,B,19500,9.76,0.22,2,0,0,0,0,0,0,1,0,0
24,100000,0.0,C,10000,12.87,0.1,4,1,0,0,0,0,1,0,0,1
35,100843,6.0,C,2800,12.87,0.03,5,1,0,0,0,0,1,0,0,0
23,28000,0.0,B,1250,10.99,0.04,4,0,0,1,0,1,0,0,0,0
40,150000,5.0,B,12000,10.37,0.08,15,1,0,0,0,0,0,0,1,0
37,58000,2.0,B,10000,10.99,0.17,12,0,0,0,0,0,0,0,0,0
34,96000,2.0,B,12000,11.99,0.13,6,0,0,1,0,1,0,0,0,0
36,120000,12.0,A,14500,5.42,0.12,15,1,0,0,0,0,0,0,0,0
24,46700,5.0,D,8000,15.65,0.17,3,0,0,0,1,0,0,0,0,1
25,57504,2.0,A,16500,9.32,0.29,3,0,0,0,0,0,0,1,0,0
35,15000,3.0,A,3700,9.32,0.25,6,0,0,1,0,0,0,1,0,0
36,80000,5.0,B,20000,10.99,0.25,15,1,0,0,1,0,0,0,0,0
25,58000,5.0,D,15000,18.25,0.26,2,0,0,0,0,0,0,0,0,0
47,30000,2.0,C,3000,12.99,0.1,11,0,0,0,0,0,0,1,0,0
25,100000,2.0,D,21000,16.49,0.21,3,0,0,0,0,0,0,1,0,1
42,75000,2.0,B,9600,11.99,0.13,11,1,0,0,1,0,0,0,0,0
26,43000,5.0,A,7800,7.88,0.18,2,0,0,0,0,0,1,0,0,0
32,37000,0.0,B,15000,10.62,0.41,8,0,0,0,0,1,0,0,0,0
40,71000,5.0,E,7000,15.38,0.1,12,1,0,0,1,0,0,0,0,1
32,66000,1.0,A,8000,7.29,0.12,10,0,0,0,0,0,0,1,0,0
22,101000,7.0,D,25000,10.99,0.25,3,1,0,0,1,0,0,0,0,1
27,29238,8.0,C,10000,12.99,0.34,6,0,0,0,0,0,0,1,0,0
37,91800,0.0,F,5000,19.47,0.05,16,1,0,0,0,0,1,0,0,1
27,51000,9.0,B,1600,10.59,0.03,6,0,0,0,0,1,0,0,0,0
24,29000,1.0,B,4000,9.96,0.14,3,0,0,0,0,0,1,0,0,0
